solar_area_id,area_type,postcode,lga,centroid_lat,centroid_lon,installed_system_count,installed_capacity_kw,estimated_panel_count,estimated_inverter_count,estimated_mass_kg,install_period_start,install_period_end,count_role,count_granularity,source_ids,data_confidence,source_url,derivation_method
san_svic_lga_frankston,lga,,FRANKSTON,,,6575,,,,,2019-03-01,2025-12-31,program_subsidy_subset,period_cumulative_program_count,solar_vic_lga,observed_aggregate,https://discover.data.vic.gov.au/dataset/products-and-systems-installed-per-local-government-area-lga,sum_of_solar_victoria_lga_rebate_counts_business_plus_owner_plus_rental
san_svic_lga_french_elizabeth_sandstone_islands,lga,,FRENCH-ELIZABETH-SANDSTONE ISLANDS,,,6,,,,,2019-03-01,2025-12-31,program_subsidy_subset,period_cumulative_program_count,solar_vic_lga,observed_aggregate,https://discover.data.vic.gov.au/dataset/products-and-systems-installed-per-local-government-area-lga,sum_of_solar_victoria_lga_rebate_counts_business_plus_owner_plus_rental
san_svic_lga_gannawarra,lga,,GANNAWARRA,,,560,,,,,2019-03-01,2025-12-31,program_subsidy_subset,period_cumulative_program_count,solar_vic_lga,observed_aggregate,https://discover.data.vic.gov.au/dataset/products-and-systems-installed-per-local-government-area-lga,sum_of_solar_victoria_lga_rebate_counts_business_plus_owner_plus_rental
san_svic_lga_glen_eira,lga,,GLEN EIRA,,,3332,,,,,2019-03-01,2025-12-31,program_subsidy_subset,period_cumulative_program_count,solar_vic_lga,observed_aggregate,https://discover.data.vic.gov.au/dataset/products-and-systems-installed-per-local-government-area-lga,sum_of_solar_victoria_lga_rebate_counts_business_plus_owner_plus_rental
san_svic_lga_glenelg,lga,,GLENELG,,,843,,,,,2019-03-01,2025-12-31,program_subsidy_subset,period_cumulative_program_count,solar_vic_lga,observed_aggregate,https://discover.data.vic.gov.au/dataset/products-and-systems-installed-per-local-government-area-lga,sum_of_solar_victoria_lga_rebate_counts_business_plus_owner_plus_rental
san_svic_lga_golden_plains,lga,,GOLDEN PLAINS,,,1490,,,,,2019-03-01,2025-12-31,program_subsidy_subset,period_cumulative_program_count,solar_vic_lga,observed_aggregate,https://discover.data.vic.gov.au/dataset/products-and-systems-installed-per-local-government-area-lga,sum_of_solar_victoria_lga_rebate_counts_business_plus_owner_plus_rental
san_svic_lga_greater_bendigo,lga,,GREATER BENDIGO,,,8265,,,,,2019-03-01,2025-12-31,program_subsidy_subset,period_cumulative_program_count,solar_vic_lga,observed_aggregate,https://discover.data.vic.gov.au/dataset/products-and-systems-installed-per-local-government-area-lga,sum_of_solar_victoria_lga_rebate_counts_business_plus_owner_plus_rental
san_svic_lga_greater_dandenong,lga,,GREATER DANDENONG,,,7921,,,,,2019-03-01,2025-12-31,program_subsidy_subset,period_cumulative_program_count,solar_vic_lga,observed_aggregate,https://discover.data.vic.gov.au/dataset/products-and-systems-installed-per-local-government-area-lga,sum_of_solar_victoria_lga_rebate_counts_business_plus_owner_plus_rental
san_svic_lga_greater_geelong,lga,,GREATER GEELONG,,,13942,,,,,2019-03-01,2025-12-31,program_subsidy_subset,period_cumulative_program_count,solar_vic_lga,observed_aggregate,https://discover.data.vic.gov.au/dataset/products-and-systems-installed-per-local-government-area-lga,sum_of_solar_victoria_lga_rebate_counts_business_plus_owner_plus_rental
san_svic_lga_greater_shepparton,lga,,GREATER SHEPPARTON,,,4731,,,,,2019-03-01,2025-12-31,program_subsidy_subset,period_cumulative_program_count,solar_vic_lga,observed_aggregate,https://discover.data.vic.gov.au/dataset/products-and-systems-installed-per-local-government-area-lga,sum_of_solar_victoria_lga_rebate_counts_business_plus_owner_plus_rental
