facility_id,name,facility_type,infrastructure_type,owner,address,suburb,lga,lat,lon,accepted_materials,capacity_kg_per_day,capacity_source,capacity_confidence,source_id,source_url,data_confidence,derivation_method
fac_0167_sims_metals_management_noble_park_,Sims Metals Management (Noble Park),Reprocessor,Metals recovery,Sims Limited,442 Princes Highway,Noble Park,Greater Dandenong,-37.95808995,145.1857629,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0168_sims_metals_management_traralgon_,Sims Metals Management (Traralgon),Reprocessor,Metals recovery,Sims Limited,70-74 Eastern Road,Traralgon East,Latrobe,-38.18067838,146.5658201,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0169_siltech_pmr,Siltech PMR,Reprocessor,Metals recovery,Siltech PMR Pty Ltd,220 Barry Road,Campbellfield,Hume,-37.665425,144.957214,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0170_signode,Signode,Reprocessor,Plastics reprocessing,Signode Australia & New Zealand,30 Fulton Drive,Derrimut,Brimbank,-37.809071,144.780473,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0171_shred_x_vic,Shred-X Vic,Reprocessor,E-waste recycling,Shred-X,30 Plummer Road,Laverton North,Wyndham,-37.818277,144.813629,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0172_select_harvests_almond_division,Select Harvests - Almond Division,Reprocessor,Thermal energy from waste,Select Harvests,4444B Hattah-Robinvale Road,Wemen,Swan Hill,-34.745981,142.7199932,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0173_m_schott_drum_recyclers,M. Schott Drum Recyclers,Hazardous waste,Hazardous waste packaging facility,Selaras Kechil Nominees Pty Ltd,137-139 Bakers Road,Coburg North,Merri-bek,-37.726408,144.952994,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0174_scipher,Scipher,Reprocessor,E-waste recycling,Scipher Technologies Pty Ltd,7 Mills Road,Dandenong,Greater Dandenong,-37.98990245,145.1952641,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0175_schutz_australia_haz_packaging_,Schutz Australia (haz packaging),Hazardous waste,Hazardous waste packaging facility,Schutz Australia Pty Ltd,13-15 Burr Court,Laverton North,Wyndham,-37.81776427,144.8046477,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0176_schutz_australia_plastics_,Schutz Australia (plastics),Reprocessor,Plastics reprocessing,Schutz Australia Pty Ltd,13-15 Burr Court,Laverton North,Wyndham,-37.81776427,144.8046477,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
